,Date,Type,Confirmation Code,Start Date,Nights,Listing,Details,Reference,Currency,Amount,Paid Out,Host Fee,Cleaning Fee,Linens fee,Community fee,guest_name_sha256
143,02/17/2019,Reservation,HMXFZTPPC5,02/16/2019,2.0,"Red Victorian - Private room w loftbed, Butterfly",,,USD,244.44,,7.56,35.0,20.0,35.0,ba22bad0bdcc3d48b6d4be7384d442aed692d9c752cdf5bf4a6068494c373f07
144,02/17/2019,Reservation,HMSZ8EPBPY,02/16/2019,7.0,"Red Victorian - Private suite w bath, Flower Child",,,USD,547.06,,16.92,31.5,18.0,31.5,35bf35fdeba28e3347e1796f3677c3e25e5820b991c131173466c8136773f950
145,02/17/2019,Reservation,HM5PZBW2F3,02/16/2019,6.0,Red Victorian - Water Bunk in shared Peacock Room,,,USD,255.11,,7.89,15.0,15.0,20.0,a955fb3c4c9e8fad922ed23c166db34ad23411041caaa3e1dd3e120e438d655c
146,02/17/2019,Reservation,HMYCQTKBEA,02/16/2019,6.0,Red Victorian - Bunk #2 in shared Hole in the Wall,,,USD,254.14,,7.86,15.0,20.0,15.0,4d153e9e9e007a1e26555d7d7d23b30385f35de438c0fedc3482fb56fcf7c6a8
147,02/17/2019,Reservation,HMH443JFPK,02/16/2019,2.0,Red Victorian - Bunk #1 in shared Hole in the Wall,,,USD,116.4,,3.6,15.0,20.0,15.0,d83a2de484eb7ca5d608002457d9620de41f9136e5d29ef58a3b69c80c7fb2ac
148,02/16/2019,Payout,,,,,Transfer to *****4871,,USD,,272.12,,,,,
149,02/16/2019,Reservation,HMPFEC3H4R,02/15/2019,2.0,"Red Victorian - Private suite w/bath, Redwood",,,USD,67.66,,2.09,8.75,5.0,8.75,9bc3b5e7b79a6a8f1d17b456edb428236edd6596459862530b85b20030b7a424
150,02/16/2019,Reservation,HMQEFKS55X,02/15/2019,10.0,"Red Victorian - Private room w/sink, Tea Garden",,,USD,145.79,,4.51,7.0,4.0,7.0,a5c3ebc650ecaa1116ad5ff3f768a3005dc7ad785f31cab9e0b68d92399729fe
151,02/16/2019,Reservation,HM2BSM3MWA,02/15/2019,3.0,"Red Victorian - Private room, Peace Room",,,USD,58.67,,1.81,7.0,4.0,7.0,186f0b1b22849b79925a3b2925ef98802906b6456f627bc8ef56cb4c1bbb52a9
152,02/16/2019,Payout,,,,,Transfer to *****7750,,USD,,256.97,,,,,
153,02/16/2019,Reservation,HMCJ53CBQF,02/15/2019,3.0,Red Victorian - Private room -  Rainbow Room,,,USD,58.49,,1.81,7.0,4.0,7.0,270c166697432bb6cea2538c441952e4df266ff1d45a113cdcef99694c979707
154,02/16/2019,Reservation,HMJ43MRC9W,02/15/2019,3.0,"Red Victorian - Private room, Skylight",,,USD,71.39,,2.21,7.0,4.0,7.0,ee72abec42a4398dff03f9c116cc2a330a7dd6119d15189b0de4328ab2aba1d8
155,02/16/2019,Reservation,HMEQF45EFR,02/15/2019,3.0,"Red Victorian - Private room, The Conservatory",,,USD,31.62,,0.98,3.5,2.0,3.5,808e46da6cb39a5ac722feecac9a15edcdcaccc46db69bdd356b685ab37f5fb2
156,02/14/2019,Reservation,HMPHRCY38K,02/13/2019,2.0,"Red Victorian - Private room, Skylight",,,USD,40.35,,1.25,7.0,4.0,7.0,807f8515ef9a9e58a242884cdd217b56075963bd25284ce8f1771110caa42dc1
157,02/11/2019,Reservation,HM83H82KQR,02/10/2019,6.0,"Red Victorian - Private suite w bath, Flower Child",,,USD,57.33,,1.77,3.5,2.0,3.5,63ac23cc7320e078460a9fb49d72baeab28d7ad78d38275cd310655f491c985a
158,02/11/2019,Reservation,HMYKQ2SC5T,02/10/2019,3.0,"Red Victorian - Private room, Skylight",,,USD,59.36,,1.84,7.0,4.0,7.0,f549a266a6915125c5b9318affdc99ba91a874c57634cb3cfda1858be8446dcf
